text
"馬藹萱老師的社會學課程difficult分數為89.35,busy分數為94.31,low分數為73.85,high分數為89.15,easy分數為94.61,interesting分數為96.94,clear分數為96.42,implicit分數為95.56,heavy分數為91.11,boring分數為80.52,thoughtful分數為96.66,sweet分數為95.7,hard分數為88.94,cold分數為86.03."
"邱炫元老師的社會學課程difficult分數為94.05,busy分數為93.31,low分數為88.58,high分數為84.45,easy分數為77.61,interesting分數為94.5,clear分數為92.61,implicit分數為91.01,heavy分數為95.56,boring分數為91.03,thoughtful分數為95.87,sweet分數為78.19,hard分數為94.99,cold分數為90.72."
"陳宗文老師的社會學課程difficult分數為83.51,busy分數為92.2,low分數為79.65,high分數為77.05,easy分數為82.4,interesting分數為96.11,clear分數為97.26,implicit分數為95.01,heavy分數為75.7,boring分數為37.37,thoughtful分數為98.17,sweet分數為94.5,hard分數為84.97,cold分數為68.62."
"苗延威老師的社會學課程difficult分數為76.79,busy分數為67.51,low分數為64.13,high分數為60.6,easy分數為39.03,interesting分數為73.95,clear分數為73.54,implicit分數為87.38,heavy分數為70.65,boring分數為36.26,thoughtful分數為79.64,sweet分數為43.13,hard分數為72.75,cold分數為57.59."
"韋洪武老師的政治學課程difficult分數為24.78,busy分數為34.57,low分數為43.84,high分數為25.31,easy分數為7.45,interesting分數為30.28,clear分數為14.23,implicit分數為51.69,heavy分數為24.66,boring分數為3.84,thoughtful分數為41.03,sweet分數為13.01,hard分數為26.59,cold分數為13.24."
"蔡中民老師的政治學課程difficult分數為92.66,busy分數為96.16,low分數為88.58,high分數為95.21,easy分數為94.82,interesting分數為98.64,clear分數為98.03,implicit分數為97.58,heavy分數為96.16,boring分數為80.0,thoughtful分數為98.79,sweet分數為95.09,hard分數為94.52,cold分數為92.71."
"周家瑜老師的政治學課程difficult分數為90.85,busy分數為82.78,low分數為71.56,high分數為83.41,easy分數為70.99,interesting分數為94.73,clear分數為90.8,implicit分數為93.14,heavy分數為90.85,boring分數為44.56,thoughtful分數為96.57,sweet分數為92.45,hard分數為89.94,cold分數為77.51."
"孫采薇老師的政治學課程difficult分數為45.68,busy分數為88.65,low分數為72.86,high分數為84.49,easy分數為35.98,interesting分數為92.27,clear分數為92.01,implicit分數為86.08,heavy分數為76.86,boring分數為17.85,thoughtful分數為95.06,sweet分數為85.05,hard分數為83.03,cold分數為48.44."
"何怡澄老師的初級會計學（一）課程difficult分數為57.53,busy分數為63.87,low分數為50.32,high分數為55.85,easy分數為55.75,interesting分數為79.77,clear分數為68.65,implicit分數為84.59,heavy分數為61.57,boring分數為31.24,thoughtful分數為81.15,sweet分數為65.63,hard分數為42.05,cold分數為51.33."
"戚務君老師的初級會計學（一）課程difficult分數為82.05,busy分數為78.85,low分數為59.45,high分數為54.0,easy分數為46.38,interesting分數為82.74,clear分數為81.39,implicit分數為86.1,heavy分數為79.79,boring分數為52.38,thoughtful分數為90.13,sweet分數為70.95,hard分數為80.94,cold分數為67.46."
"詹凌菁老師的初級會計學（一）課程difficult分數為55.93,busy分數為66.27,low分數為50.91,high分數為78.02,easy分數為64.09,interesting分數為62.92,clear分數為85.37,implicit分數為89.71,heavy分數為62.71,boring分數為35.35,thoughtful分數為91.02,sweet分數為74.99,hard分數為50.51,cold分數為62.28."
"梁嘉紋老師的初級會計學（一）課程difficult分數為93.41,busy分數為97.67,low分數為93.42,high分數為99.18,easy分數為85.22,interesting分數為98.89,clear分數為98.72,implicit分數為98.71,heavy分數為96.49,boring分數為50.81,thoughtful分數為98.75,sweet分數為97.27,hard分數為94.1,cold分數為92.37."
"俞洪昭老師的初級會計學（一）課程difficult分數為94.36,busy分數為95.43,low分數為88.89,high分數為97.58,easy分數為65.07,interesting分數為98.18,clear分數為98.69,implicit分數為97.7,heavy分數為97.37,boring分數為77.0,thoughtful分數為98.63,sweet分數為96.68,hard分數為97.8,cold分數為92.45."
"金成隆老師的初級會計學（一）課程difficult分數為28.08,busy分數為89.39,low分數為16.63,high分數為12.37,easy分數為2.59,interesting分數為86.42,clear分數為19.39,implicit分數為17.24,heavy分數為20.33,boring分數為1.87,thoughtful分數為54.29,sweet分數為43.07,hard分數為27.73,cold分數為7.88."
"林禹銘老師的初級會計學（一）課程difficult分數為90.44,busy分數為95.44,low分數為86.53,high分數為94.4,easy分數為94.52,interesting分數為97.52,clear分數為97.51,implicit分數為95.17,heavy分數為94.62,boring分數為72.19,thoughtful分數為96.93,sweet分數為95.14,hard分數為94.02,cold分數為85.56."
"潘健民老師的初級會計學（一）課程difficult分數為87.49,busy分數為92.34,low分數為77.95,high分數為85.15,easy分數為71.94,interesting分數為93.16,clear分數為90.6,implicit分數為93.36,heavy分數為84.64,boring分數為69.13,thoughtful分數為95.3,sweet分數為83.62,hard分數為87.13,cold分數為79.92."
"周玲臺老師的初級會計學（一）課程difficult分數為96.53,busy分數為98.44,low分數為93.78,high分數為98.99,easy分數為97.13,interesting分數為99.48,clear分數為99.47,implicit分數為98.04,heavy分數為98.05,boring分數為72.68,thoughtful分數為99.56,sweet分數為99.25,hard分數為99.07,cold分數為96.38."
"張祐慈老師的初級會計學（一）課程difficult分數為64.72,busy分數為66.85,low分數為43.39,high分數為44.19,easy分數為15.81,interesting分數為62.98,clear分數為66.78,implicit分數為76.56,heavy分數為53.6,boring分數為22.54,thoughtful分數為81.05,sweet分數為39.93,hard分數為60.57,cold分數為39.74."
"陳宇紳老師的初級會計學（一）課程difficult分數為85.17,busy分數為81.63,low分數為53.87,high分數為84.96,easy分數為49.47,interesting分數為97.06,clear分數為96.41,implicit分數為96.61,heavy分數為79.58,boring分數為23.12,thoughtful分數為96.96,sweet分數為94.58,hard分數為75.41,cold分數為76.23."
"張祐慈、陳宇紳老師的初級會計學（一）課程difficult分數為81.22,busy分數為84.33,low分數為76.83,high分數為79.18,easy分數為67.18,interesting分數為95.42,clear分數為92.76,implicit分數為89.8,heavy分數為85.67,boring分數為42.1,thoughtful分數為95.25,sweet分數為87.2,hard分數為80.82,cold分數為67.62."
"翁嘉祥、張祐慈老師的初級會計學（一）課程difficult分數為77.82,busy分數為87.07,low分數為81.78,high分數為73.86,easy分數為64.59,interesting分數為89.92,clear分數為89.95,implicit分數為83.03,heavy分數為81.24,boring分數為63.89,thoughtful分數為93.62,sweet分數為79.22,hard分數為76.41,cold分數為68.75."
"黃政仁老師的初級會計學（一）課程difficult分數為88.31,busy分數為87.88,low分數為79.32,high分數為94.7,easy分數為59.2,interesting分數為94.02,clear分數為94.45,implicit分數為92.9,heavy分數為92.23,boring分數為40.34,thoughtful分數為96.26,sweet分數為92.31,hard分數為85.61,cold分數為85.04."
"姚維仁老師的初級會計學（一）課程difficult分數為94.56,busy分數為91.23,low分數為86.97,high分數為81.98,easy分數為90.01,interesting分數為94.94,clear分數為92.65,implicit分數為94.81,heavy分數為88.45,boring分數為68.64,thoughtful分數為96.02,sweet分數為70.11,hard分數為93.57,cold分數為83.2."
"翁嘉祥、馬秀如、張祐慈老師的初級會計學（一）課程difficult分數為83.2,busy分數為75.82,low分數為22.4,high分數為35.74,easy分數為2.41,interesting分數為82.92,clear分數為43.4,implicit分數為19.33,heavy分數為30.78,boring分數為0.82,thoughtful分數為86.78,sweet分數為71.53,hard分數為77.42,cold分數為16.17."
"翁嘉祥老師的初級會計學（一）課程difficult分數為60.06,busy分數為78.06,low分數為61.25,high分數為83.82,easy分數為73.16,interesting分數為82.43,clear分數為93.19,implicit分數為78.84,heavy分數為75.29,boring分數為67.61,thoughtful分數為94.22,sweet分數為90.97,hard分數為61.15,cold分數為64.51."
"徐愛恩老師的初級會計學（一）課程difficult分數為83.37,busy分數為84.21,low分數為64.43,high分數為91.57,easy分數為76.65,interesting分數為94.22,clear分數為94.78,implicit分數為85.49,heavy分數為84.76,boring分數為49.23,thoughtful分數為96.08,sweet分數為92.05,hard分數為81.22,cold分數為79.32."
"徐愛恩、張祐慈老師的初級會計學（一）課程difficult分數為99.17,busy分數為98.73,low分數為97.92,high分數為77.62,easy分數為88.5,interesting分數為99.21,clear分數為99.58,implicit分數為95.02,heavy分數為89.22,boring分數為9.74,thoughtful分數為99.18,sweet分數為95.9,hard分數為98.6,cold分數為69.62."
"何怡澄老師的初級會計學（二）課程difficult分數為65.82,busy分數為81.05,low分數為53.47,high分數為75.14,easy分數為47.87,interesting分數為89.18,clear分數為84.62,implicit分數為86.39,heavy分數為66.84,boring分數為30.04,thoughtful分數為90.74,sweet分數為83.93,hard分數為63.5,cold分數為62.44."
"詹凌菁老師的初級會計學（二）課程difficult分數為84.07,busy分數為85.81,low分數為58.16,high分數為87.0,easy分數為80.56,interesting分數為95.59,clear分數為96.67,implicit分數為95.58,heavy分數為84.13,boring分數為53.61,thoughtful分數為96.27,sweet分數為95.07,hard分數為76.11,cold分數為79.37."
"梁嘉紋老師的初級會計學（二）課程difficult分數為67.51,busy分數為62.36,low分數為65.43,high分數為92.13,easy分數為38.75,interesting分數為89.17,clear分數為92.81,implicit分數為90.37,heavy分數為84.32,boring分數為20.82,thoughtful分數為93.65,sweet分數為74.84,hard分數為73.8,cold分數為62.53."
"俞洪昭老師的初級會計學（二）課程difficult分數為85.99,busy分數為71.62,low分數為71.82,high分數為78.57,easy分數為26.04,interesting分數為87.87,clear分數為84.17,implicit分數為83.71,heavy分數為82.6,boring分數為24.06,thoughtful分數為90.78,sweet分數為54.93,hard分數為85.43,cold分數為83.97."
"戚務君老師的初級會計學（二）課程difficult分數為90.7,busy分數為91.53,low分數為80.8,high分數為82.32,easy分數為14.28,interesting分數為48.12,clear分數為43.7,implicit分數為90.61,heavy分數為90.31,boring分數為52.96,thoughtful分數為71.39,sweet分數為21.62,hard分數為88.81,cold分數為68.22."
"金成隆老師的初級會計學（二）課程difficult分數為92.24,busy分數為89.36,low分數為85.54,high分數為78.94,easy分數為55.9,interesting分數為88.38,clear分數為83.59,implicit分數為90.18,heavy分數為92.77,boring分數為51.17,thoughtful分數為96.51,sweet分數為85.41,hard分數為89.63,cold分數為89.97."
"林禹銘老師的初級會計學（二）課程difficult分數為98.72,busy分數為98.49,low分數為95.14,high分數為97.44,easy分數為92.11,interesting分數為99.05,clear分數為99.08,implicit分數為99.12,heavy分數為98.49,boring分數為94.31,thoughtful分數為99.21,sweet分數為98.67,hard分數為98.98,cold分數為96.97."
"潘健民老師的初級會計學（二）課程difficult分數為70.92,busy分數為79.27,low分數為80.45,high分數為70.53,easy分數為34.52,interesting分數為83.74,clear分數為71.44,implicit分數為78.11,heavy分數為70.93,boring分數為27.24,thoughtful分數為84.06,sweet分數為73.35,hard分數為78.36,cold分數為65.44."
"張祐慈老師的初級會計學（二）課程difficult分數為69.66,busy分數為81.67,low分數為8.91,high分數為86.65,easy分數為12.84,interesting分數為96.25,clear分數為93.92,implicit分數為53.57,heavy分數為95.59,boring分數為1.45,thoughtful分數為87.72,sweet分數為91.69,hard分數為72.19,cold分數為7.18."
"陳宇紳老師的初級會計學（二）課程difficult分數為93.14,busy分數為96.1,low分數為85.69,high分數為89.46,easy分數為57.79,interesting分數為96.73,clear分數為94.53,implicit分數為92.04,heavy分數為93.48,boring分數為27.55,thoughtful分數為98.11,sweet分數為92.59,hard分數為91.43,cold分數為83.15."
"周玲臺老師的初級會計學（二）課程difficult分數為57.74,busy分數為49.98,low分數為12.73,high分數為77.65,easy分數為26.15,interesting分數為98.58,clear分數為85.32,implicit分數為54.85,heavy分數為33.28,boring分數為1.36,thoughtful分數為98.7,sweet分數為98.16,hard分數為63.7,cold分數為2.72."
"張祐慈、陳宇紳老師的初級會計學（二）課程difficult分數為95.94,busy分數為94.86,low分數為90.24,high分數為95.55,easy分數為77.74,interesting分數為97.9,clear分數為96.42,implicit分數為95.91,heavy分數為93.37,boring分數為94.4,thoughtful分數為98.71,sweet分數為96.69,hard分數為95.27,cold分數為93.35."
"翁嘉祥、張祐慈老師的初級會計學（二）課程difficult分數為82.51,busy分數為76.11,low分數為46.3,high分數為85.85,easy分數為59.83,interesting分數為85.98,clear分數為90.32,implicit分數為88.06,heavy分數為80.4,boring分數為44.49,thoughtful分數為88.17,sweet分數為83.66,hard分數為85.49,cold分數為62.61."
"姚維仁老師的初級會計學（二）課程difficult分數為98.95,busy分數為97.37,low分數為88.4,high分數為15.94,easy分數為7.5,interesting分數為92.54,clear分數為31.53,implicit分數為71.71,heavy分數為81.42,boring分數為7.72,thoughtful分數為81.64,sweet分數為33.96,hard分數為99.02,cold分數為68.73."
"黃政仁老師的初級會計學（二）課程difficult分數為96.33,busy分數為95.49,low分數為88.82,high分數為84.43,easy分數為31.5,interesting分數為95.04,clear分數為85.61,implicit分數為97.51,heavy分數為95.7,boring分數為57.5,thoughtful分數為96.7,sweet分數為61.42,hard分數為95.38,cold分數為91.58."
